area,2017,2016,2015,2014,2013,2012,2011,2010,2009
Beijing,8.06,10.58,8.22,6.56,6.46,4.86,4.35,4.4,4.13
Tianjin,5.89,6.52,5.19,4.45,4.53,3.63,3.21,3,2.76
Hebei,23.24,22.02,19.9,18.57,17.88,17.12,15.63,14.5,12.67
Shanxi,8.22,7.65,7.22,6.56,6.1,5.28,4.75,4.3,3.89
Inner Mongolia,10.09,9.84,9.19,8.84,8.07,7.06,6.67,5.7,5.2
Liaoning,16.68,16.01,15.23,15.27,15.21,14.12,13.91,12.8,13.15
Jilin,13.36,12.92,12.74,12.21,12.4,11.1,10.14,9.4,8.96
Heilongjiang,19.69,18.72,18.98,18.73,17.83,15.68,14.95,13.8,12.61
Shanghai,5.88,8.26,6.66,6.15,6.96,5.28,4.79,4.7,4.82
Jiangsu,28.78,26.13,22.93,21.83,21.66,18.12,16.68,16,14.37
Zhejiang,15.77,14.71,13.96,13.58,13.24,12.25,11.52,11.2,10.71
Anhui,24.21,21.72,18.12,17.1,15.62,13.37,11.95,11,9.3
Fujian,10.59,9.63,8.93,8.73,8.26,7.49,6.68,6.1,5.82
Jiangxi,11.08,10.21,9.52,8.94,8.61,7.55,7.01,6.5,6.15
Shandong,27.25,25.45,24.09,23.41,22.51,19.67,18.16,16.8,15.17
Henan,31.66,27.75,25.23,23.09,20.95,16,13.8,13.4,12.44
Hubei,19.93,18.31,16.69,15.74,15.09,13.56,12.46,11.6,10.89
Hunan,20.76,19.35,18.09,17.6,16.73,15.54,14.8,13.8,13.16
Guangdong,22.03,21.19,19.34,17.79,17.7,15.54,14.14,12.7,11.91
Guangxi,12,11.28,10.44,10.09,9.32,8.59,7.76,7.3,6.56
Hainan,1.78,1.66,1.51,1.41,1.32,1.21,1.09,0.9,1.09
Chongqing,15.08,13.9,13.73,13.26,13.37,12.57,12.35,11.3,10.14
Sichuan,31.17,29.62,28.62,27.5,26.83,25.1,23.15,22.1,19.97
Guizhou,13.45,12.1,10.84,9.57,8.57,8.12,7.22,6.4,5.8
Yunnan,12.71,11.93,10.91,10.05,9.13,8.21,7.43,6.9,6.08
Tibet,0.4,0.35,0.24,0.26,0.18,0.13,0.2,0.2,0.17
Shaanxi,10.88,10.14,9.73,8.51,8.06,7.1,6.82,6.4,5.52
Gansu,5.41,5.03,4.62,4.22,3.85,3.29,3.07,2.8,2.47
Qinghai,1.64,1.52,1.28,1.25,1.08,1.07,0.94,0.8,0.76
Ningxia,2.22,1.95,1.81,1.58,1.59,1.5,1.33,1.2,1.27
Xinjiang,7.44,9.36,10.18,10.8,10.91,10.31,10.42,9.8,8.84
